session_id,start_time,end_time,start_ts,end_ts,duration,keypresses
0,2020-08-06T17:15:52.125000000,2020-08-06T17:15:54.168000000,2020-08-06T17:15:52.125000000,2020-08-06T17:15:54.168000000,2043000000 nanoseconds,6
1,2020-08-06T17:17:49.235000000,2020-08-06T17:18:34.629000000,2020-08-06T17:17:49.235000000,2020-08-06T17:18:34.629000000,45394000000 nanoseconds,150
2,2020-08-06T17:24:22.760000000,2020-08-06T17:24:48.201000000,2020-08-06T17:24:22.760000000,2020-08-06T17:24:48.201000000,25441000000 nanoseconds,91
3,2020-08-06T17:28:07.830000000,2020-08-06T17:29:01.120000000,2020-08-06T17:28:07.830000000,2020-08-06T17:29:01.120000000,53290000000 nanoseconds,130
4,2020-08-06T19:36:23.420000000,2020-08-06T19:36:31.313000000,2020-08-06T19:36:23.420000000,2020-08-06T19:36:31.313000000,7893000000 nanoseconds,23
5,2020-08-06T20:10:20.909000000,2020-08-06T20:10:27.783000000,2020-08-06T20:10:20.909000000,2020-08-06T20:10:27.783000000,6874000000 nanoseconds,16
6,2020-08-06T20:12:08.792000000,2020-08-06T20:14:39.878000000,2020-08-06T20:12:08.792000000,2020-08-06T20:14:39.878000000,151086000000 nanoseconds,161
7,2020-08-08T11:09:01.613000000,2020-08-08T11:09:46.423000000,2020-08-08T11:09:01.613000000,2020-08-08T11:09:46.423000000,44810000000 nanoseconds,58
8,2020-08-08T19:46:28.359000000,2020-08-08T19:46:36.907000000,2020-08-08T19:46:28.359000000,2020-08-08T19:46:36.907000000,8548000000 nanoseconds,24
9,2020-08-08T20:13:55.144000000,2020-08-08T20:13:59.403000000,2020-08-08T20:13:55.144000000,2020-08-08T20:13:59.403000000,4259000000 nanoseconds,14
10,2020-08-08T20:40:38.350000000,2020-08-08T20:44:14.532000000,2020-08-08T20:40:38.350000000,2020-08-08T20:44:14.532000000,216182000000 nanoseconds,149
11,2020-08-08T23:25:36.662000000,2020-08-08T23:26:05.000000000,2020-08-08T23:25:36.662000000,2020-08-08T23:26:05.000000000,28338000000 nanoseconds,6
12,2020-08-09T07:11:31.363000000,2020-08-09T07:11:42.291000000,2020-08-09T07:11:31.363000000,2020-08-09T07:11:42.291000000,10928000000 nanoseconds,30
13,2020-08-09T07:19:26.915000000,2020-08-09T07:19:32.304000000,2020-08-09T07:19:26.915000000,2020-08-09T07:19:32.304000000,5389000000 nanoseconds,19
14,2020-08-09T12:02:18.829000000,2020-08-09T12:02:19.558000000,2020-08-09T12:02:18.829000000,2020-08-09T12:02:19.558000000,729000000 nanoseconds,5
15,2020-08-09T12:04:20.014000000,2020-08-09T12:05:47.066000000,2020-08-09T12:04:20.014000000,2020-08-09T12:05:47.066000000,87052000000 nanoseconds,118
16,2020-08-09T12:40:37.443000000,2020-08-09T12:40:38.742000000,2020-08-09T12:40:37.443000000,2020-08-09T12:40:38.742000000,1299000000 nanoseconds,6
17,2020-08-09T12:42:33.830000000,2020-08-09T12:43:35.882000000,2020-08-09T12:42:33.830000000,2020-08-09T12:43:35.882000000,62052000000 nanoseconds,33
18,2020-08-09T15:26:52.528000000,2020-08-09T15:27:14.922000000,2020-08-09T15:26:52.528000000,2020-08-09T15:27:14.922000000,22394000000 nanoseconds,53
19,2020-08-09T15:29:47.136000000,2020-08-09T15:30:40.652000000,2020-08-09T15:29:47.136000000,2020-08-09T15:30:40.652000000,53516000000 nanoseconds,132
20,2020-08-09T15:32:33.281000000,2020-08-09T15:32:40.122000000,2020-08-09T15:32:33.281000000,2020-08-09T15:32:40.122000000,6841000000 nanoseconds,7
21,2020-08-09T15:44:44.060000000,2020-08-09T15:44:56.688000000,2020-08-09T15:44:44.060000000,2020-08-09T15:44:56.688000000,12628000000 nanoseconds,33
