session_id,start_time,end_time,duration,keypresses
0,2020-08-06 17:15:52.125,2020-08-06 17:15:54.168,0 days 00:00:02.043000,6
1,2020-08-06 17:17:49.235,2020-08-06 17:18:34.629,0 days 00:00:45.394000,150
2,2020-08-06 17:24:22.760,2020-08-06 17:24:48.201,0 days 00:00:25.441000,91
3,2020-08-06 17:28:07.830,2020-08-06 17:29:01.120,0 days 00:00:53.290000,130
4,2020-08-06 19:36:23.420,2020-08-06 19:36:31.313,0 days 00:00:07.893000,23
5,2020-08-06 20:10:20.909,2020-08-06 20:10:27.783,0 days 00:00:06.874000,16
6,2020-08-06 20:12:08.792,2020-08-06 20:14:39.878,0 days 00:02:31.086000,161
7,2020-08-08 11:09:01.613,2020-08-08 11:09:46.423,0 days 00:00:44.810000,58
8,2020-08-08 19:46:28.359,2020-08-08 19:46:36.907,0 days 00:00:08.548000,24
9,2020-08-08 20:13:55.144,2020-08-08 20:13:59.403,0 days 00:00:04.259000,14
10,2020-08-08 20:40:38.350,2020-08-08 20:44:14.532,0 days 00:03:36.182000,149
11,2020-08-08 23:25:36.662,2020-08-08 23:26:05.000,0 days 00:00:28.338000,6
12,2020-08-09 07:11:31.363,2020-08-09 07:11:42.291,0 days 00:00:10.928000,30
13,2020-08-09 07:19:26.915,2020-08-09 07:19:32.304,0 days 00:00:05.389000,19
14,2020-08-09 12:02:18.829,2020-08-09 12:02:19.558,0 days 00:00:00.729000,5
15,2020-08-09 12:04:20.014,2020-08-09 12:05:47.066,0 days 00:01:27.052000,118
16,2020-08-09 12:40:37.443,2020-08-09 12:40:38.742,0 days 00:00:01.299000,6
17,2020-08-09 12:42:33.830,2020-08-09 12:43:35.882,0 days 00:01:02.052000,33
18,2020-08-09 15:26:52.528,2020-08-09 15:27:14.922,0 days 00:00:22.394000,53
19,2020-08-09 15:29:47.136,2020-08-09 15:30:40.652,0 days 00:00:53.516000,132
20,2020-08-09 15:32:33.281,2020-08-09 15:32:40.122,0 days 00:00:06.841000,7
21,2020-08-09 15:44:44.060,2020-08-09 15:44:56.688,0 days 00:00:12.628000,33
22,2020-08-09 16:17:36.869,2020-08-09 16:19:25.864,0 days 00:01:48.995000,226
23,2020-08-09 16:38:09.432,2020-08-09 16:38:16.757,0 days 00:00:07.325000,7
24,2020-08-09 16:53:46.313,2020-08-09 16:54:15.609,0 days 00:00:29.296000,36
25,2020-08-09 20:26:09.283,2020-08-09 20:26:29.559,0 days 00:00:20.276000,61
26,2020-08-09 21:01:11.152,2020-08-09 21:03:27.723,0 days 00:02:16.571000,111
27,2020-08-09 22:15:35.851,2020-08-09 22:15:37.687,0 days 00:00:01.836000,7
28,2020-08-09 22:26:57.098,2020-08-09 22:27:00.773,0 days 00:00:03.675000,18
29,2020-08-10 08:27:09.857,2020-08-10 08:27:11.822,0 days 00:00:01.965000,5
30,2020-08-10 10:42:26.410,2020-08-10 10:42:28.864,0 days 00:00:02.454000,11
31,2020-08-10 11:40:46.245,2020-08-10 11:40:51.303,0 days 00:00:05.058000,28
32,2020-08-10 11:41:55.989,2020-08-10 11:42:21.586,0 days 00:00:25.597000,61
